01 Encabezado;;;;;;;;;;;;;;;;;;;;;
detalle o encabezado; Nro de pedido; Fecha del pedido; Fecha ; Fecha; Razón social; Responsable; email responsable; Empresa provedora; Nro Proveedor; Sucursal; Código Sucursal; Dirección Sucursal;  Tipo de PEdido; ;;;;;;;
1;288065;22/05/2007;06/06/2007;//;Ferretería EPA, C.A.;Roberto Gatti;reposicion9@epa.com.ve;NEGOCIADORA ANMAGA, C.A;4291;EPA02;2;Avenida Norte 1 C/C transversal 5, Zona Industrial Cababobo    Edif. EPA;Pedido Compra;65;No;No;20700474;2277052,14;22977526,14;0;Sin Observación

02 Detalle;;;;;;;;;;;;;;;;;;;;;

detalle o encabezado; Nro de pedido; código de producto; descripcion; código anmaga; Cantidad; Unidad; Total; Unidades por empaque; no se;Precio por unidad; total;;;;;;;;;;
2;288065;1006217;TUBO CUERO PEQ ANTIB;3-040-001;12;PZA;12;1;0;11330;135960;;;;;;;;;;
2;288065;1006477;REFRIGER COOLANT GL;1-100-001;6;PAQ;30;5;0;3485;104550;;;;;;;;;;
2;288065;1006478;SHAMPOO P/CARRO LIT.;1-010-010;12;PAQ;12;1;0;2155;25860;;;;;;;;;;
2;288065;1021156;"CONO PLEGAB 18"" CINT";3-312-030;16;PZA;64;4;0;28385;1816640;;;;;;;;;;
2;288065;1024006;GATO T/BOTELLA   4TN;3-140-020;4;PAQ;32;8;0;25190;806080;;;;;;;;;;
2;288065;1024045;GATO T/CAIMAN C/EST;3-143-001;4;PAQ;492;123;0;36202;17811384;;;;;;;;;;



1;288066;22/05/2007;06/06/2007;//;Ferretería EPA, C.A.;Roberto Gatti;reposicion9@epa.com.ve;NEGOCIADORA ANMAGA, C.A;4291;EPA03;3;Avenidad Cuatricentenario C/C Paseo Vzla C.C. LA GRANJA via    Naguanagua;Pedido Compra;65;No;No;4312916;474420,76;4787336,76;0;Sin Observación
2;288066;1006479;LIMPIAPARAB WIPER LT;1-110-010;12;PAQ;72;6;0;1535;110520;;;;;;;;;;
2;288066;1021156;"CONO PLEGAB 18"" CINT";3-312-030;16;PZA;32;2;0;28385;908320;;;;;;;;;;
2;288066;1024006;GATO T/BOTELLA   4TN;3-140-020;4;PAQ;16;4;0;25190;403040;;;;;;;;;;
2;288066;1024048;GATO T/CAIMAN S/EST;3-142-001;2;PAQ;88;44;0;32330;2845040;;;;;;;;;;
2;288066;1024060;GATO BOT 2TON C/EST;3-141-001;2;PAQ;2;1;0;22998;45996;;;;;;;;;;
1;288067;22/05/2007;06/06/2007;//;Ferretería EPA, C.A.;Roberto Gatti;reposicion9@epa.com.ve;NEGOCIADORA ANMAGA, C.A;4291;EPA04;4;Avenida Los Leones C.C.C. LAS TRINITARIAS, frente al Monumento del sol;Pedido Compra;65;No;No;483890;53227,9;537117,9;0;Sin Observación
2;288067;1006476;LIMPIAPARAB WIPER GL;1-110-001;6;PAQ;42;7;0;3485;146370;;;;;;;;;;
2;288067;1006477;REFRIGER COOLANT GL;1-100-001;6;PAQ;60;10;0;3485;209100;;;;;;;;;;
2;288067;1006479;LIMPIAPARAB WIPER LT;1-110-010;12;PAQ;36;3;0;1535;55260;;;;;;;;;;
2;288067;1024001;GATO T/BOTELLA   2TN;3-140-001;4;PAQ;4;1;0;18290;73160;;;;;;;;;;
1;288068;22/05/2007;06/06/2007;//;Ferretería EPA, C.A.;Roberto Gatti;reposicion9@epa.com.ve;NEGOCIADORA ANMAGA, C.A;4291;EPA05;5;Avenida las Industrias, entrada Zona Industrial 2;Pedido Compra;65;No;No;1183590;130194,9;1313784,9;0;Sin Observación
2;288068;1006476;LIMPIAPARAB WIPER GL;1-110-001;6;PAQ;6;1;0;3485;20910;;;;;;;;;;
2;288068;1006478;SHAMPOO P/CARRO LIT.;1-010-010;12;PAQ;12;1;0;2155;25860;;;;;;;;;;
2;288068;1024006;GATO T/BOTELLA   4TN;3-140-020;4;PAQ;36;9;0;25190;906840;;;;;;;;;;
2;288068;1024060;GATO BOT 2TON C/EST;3-141-001;2;PAQ;10;5;0;22998;229980;;;;;;;;;;
1;288069;22/05/2007;06/06/2007;//;Ferretería EPA, C.A.;Roberto Gatti;reposicion9@epa.com.ve;NEGOCIADORA ANMAGA, C.A;4291;EPA06;6;Avda. los Cortijos De Lourdes, Edif. MAP Local II, P.B.;Pedido Compra;65;No;No;20012132;2201334,52;22213466,52;0;Sin Observación
2;288069;1006062;AMBIENT PINO SURTIDO;1-001-025;24;PAQ;24;1;0;1435;34440;;;;;;;;;;
2;288069;1006477;REFRIGER COOLANT GL;1-100-001;6;PAQ;126;21;0;3485;439110;;;;;;;;;;
2;288069;1006479;LIMPIAPARAB WIPER LT;1-110-010;12;PAQ;84;7;0;1535;128940;;;;;;;;;;
2;288069;1006560;AMBIENT SPORT RACING;1-004-030;96;PZA;96;1;0;6860;658560;;;;;;;;;;
2;288069;1009606;"JGO TAZAS RIN 14""";2-302-010;6;PAQ;6;1;0;33165;198990;;;;;;;;;;
2;288069;1011956;ESTERILLA MADERA;2-130-010;12;PAQ;12;1;0;21445;257340;;;;;;;;;;
2;288069;1021004;EXTINTOR 2,5 DR CARE;3-340-001;12;CJA;24;2;0;31395;753480;;;;;;;;;;
2;288069;1021005;EXTINTOR 5LBS DR CAR;3-340-010;6;CJA;30;5;0;44780;1343400;;;;;;;;;;
2;288069;1021006;EXTINTOR 10LBS DR CA;3-340-020;2;PZA;6;3;0;66080;396480;;;;;;;;;;
2;288069;1024006;GATO T/BOTELLA   4TN;3-140-020;4;PAQ;32;8;0;25190;806080;;;;;;;;;;
2;288069;1024045;GATO T/CAIMAN C/EST;3-143-001;4;PAQ;260;65;0;36202;9412520;;;;;;;;;;
2;288069;1024048;GATO T/CAIMAN S/EST;3-142-001;2;PAQ;64;32;0;32330;2069120;;;;;;;;;;
2;288069;1024060;GATO BOT 2TON C/EST;3-141-001;2;PAQ;4;2;0;22998;91992;;;;;;;;;;
2;288069;1024072;GATO 2 1/2TON DR CAR;3-144-010;1;PZA;12;12;0;215000;2580000;;;;;;;;;;
2;288069;1024315;"LLAVE CRUZ CROM  20""";3-130-010;12;PAQ;48;4;0;10375;498000;;;;;;;;;;
2;288069;1024651;ASPIRADORA P/VEHIC;3-010-010;12;PAQ;12;1;0;28640;343680;;;;;;;;;;
1;288070;22/05/2007;06/06/2007;//;Ferretería EPA, C.A.;Roberto Gatti;reposicion9@epa.com.ve;NEGOCIADORA ANMAGA, C.A;4291;EPA07;7;Av. Intercomunal Santiago Mariño #15,Zona Industrial La Providencia;Pedido Compra;65;No;No;5865696;645226,56;6510922,56;0;Sin Observación
2;288070;1006217;TUBO CUERO PEQ ANTIB;3-040-001;12;PZA;12;1;0;11330;135960;;;;;;;;;;
2;288070;1006475;SHAMPOO P/CARRO GAL;1-010-001;6;PAQ;12;2;0;4820;57840;;;;;;;;;;
2;288070;1006477;REFRIGER COOLANT GL;1-100-001;6;PAQ;36;6;0;3485;125460;;;;;;;;;;
2;288070;1009604;"JGO TAZAS RIN 13""";2-300-010;24;PAQ;24;1;0;33165;795960;;;;;;;;;;
2;288070;1024006;GATO T/BOTELLA   4TN;3-140-020;4;PAQ;20;5;0;25190;503800;;;;;;;;;;
2;288070;1024045;GATO T/CAIMAN C/EST;3-143-001;4;PAQ;104;26;0;36202;3765008;;;;;;;;;;
2;288070;1024060;GATO BOT 2TON C/EST;3-141-001;2;PAQ;6;3;0;22998;137988;;;;;;;;;;
2;288070;1024651;ASPIRADORA P/VEHIC;3-010-010;12;PAQ;12;1;0;28640;343680;;;;;;;;;;
